Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
197,2016-12-01 18:25,2016-12-01 18:28,499,Broadway & W 60 St,40.76915505,-73.98191841,422,W 59 St & 10 Ave,40.770513,-73.988038,24184,Subscriber,1982,1
854,2016-12-01 18:30,2016-12-01 18:45,499,Broadway & W 60 St,40.76915505,-73.98191841,3140,1 Ave & E 78 St,40.77140426,-73.9535166,25676,Subscriber,1956,1
597,2016-12-01 18:32,2016-12-01 18:42,499,Broadway & W 60 St,40.76915505,-73.98191841,3177,W 84 St & Broadway,40.7867947,-73.977112,16399,Subscriber,1969,1
718,2016-12-01 18:46,2016-12-01 18:58,499,Broadway & W 60 St,40.76915505,-73.98191841,3236,W 42 St & Dyer Ave,40.75898481,-73.99379969,19564,Subscriber,1980,1
383,2016-12-01 18:56,2016-12-01 19:02,499,Broadway & W 60 St,40.76915505,-73.98191841,3173,Riverside Blvd & W 67 St,40.77750703,-73.98888588,25938,Subscriber,1974,1
149,2016-12-01 18:56,2016-12-01 18:59,499,Broadway & W 60 St,40.76915505,-73.98191841,3158,W 63 St & Broadway,40.77163851,-73.98261428,20331,Subscriber,1959,1
144,2016-12-01 18:59,2016-12-01 19:01,499,Broadway & W 60 St,40.76915505,-73.98191841,3159,W 67 St & Broadway,40.77492513,-73.98266566,17421,Subscriber,1967,1
418,2016-12-01 19:01,2016-12-01 19:08,499,Broadway & W 60 St,40.76915505,-73.98191841,3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,24100,Subscriber,1980,2
1295,2016-12-01 19:03,2016-12-01 19:25,499,Broadway & W 60 St,40.76915505,-73.98191841,3425,2 Ave  & E 104 St,40.7892105,-73.94370784,24967,Subscriber,1978,1
289,2016-12-01 19:03,2016-12-01 19:08,499,Broadway & W 60 St,40.76915505,-73.98191841,3176,W 64 St & West End Ave,40.77452835,-73.98753759,23568,Subscriber,1983,1
704,2016-12-01 19:06,2016-12-01 19:18,499,Broadway & W 60 St,40.76915505,-73.98191841,153,E 40 St & 5 Ave,40.75206231,-73.9816324,26324,Subscriber,1956,1
1613,2016-12-01 19:08,2016-12-01 19:35,499,Broadway & W 60 St,40.76915505,-73.98191841,346,Bank St & Hudson St,40.73652889,-74.00618026,27073,Subscriber,1971,1
337,2016-12-01 19:10,2016-12-01 19:15,499,Broadway & W 60 St,40.76915505,-73.98191841,3356,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,24191,Subscriber,1960,1
194,2016-12-01 19:16,2016-12-01 19:19,499,Broadway & W 60 St,40.76915505,-73.98191841,3159,W 67 St & Broadway,40.77492513,-73.98266566,23833,Subscriber,1984,2
109,2016-12-01 19:16,2016-12-01 19:18,499,Broadway & W 60 St,40.76915505,-73.98191841,3158,W 63 St & Broadway,40.77163851,-73.98261428,22181,Subscriber,1972,1
573,2016-12-01 19:19,2016-12-01 19:28,499,Broadway & W 60 St,40.76915505,-73.98191841,3166,Riverside Dr & W 72 St,40.78057799,-73.98562431,26662,Subscriber,1980,1
1062,2016-12-01 19:22,2016-12-01 19:39,499,Broadway & W 60 St,40.76915505,-73.98191841,3148,E 84 St & 1 Ave,40.77565541,-73.95068615,23654,Subscriber,1984,1
998,2016-12-01 19:23,2016-12-01 19:40,499,Broadway & W 60 St,40.76915505,-73.98191841,498,Broadway & W 32 St,40.74854862,-73.98808416,20832,Subscriber,1986,1
711,2016-12-01 19:38,2016-12-01 19:50,499,Broadway & W 60 St,40.76915505,-73.98191841,3314,W 95 St & Broadway,40.7937704,-73.971888,23118,Customer,,0
382,2016-12-01 19:49,2016-12-01 19:55,499,Broadway & W 60 St,40.76915505,-73.98191841,3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,26467,Subscriber,1957,1
943,2016-12-01 19:55,2016-12-01 20:10,499,Broadway & W 60 St,40.76915505,-73.98191841,508,W 46 St & 11 Ave,40.76341379,-73.99667444,23841,Subscriber,1983,1
1386,2016-12-01 20:01,2016-12-01 20:24,499,Broadway & W 60 St,40.76915505,-73.98191841,346,Bank St & Hudson St,40.73652889,-74.00618026,26369,Subscriber,1963,1
428,2016-12-01 20:02,2016-12-01 20:10,499,Broadway & W 60 St,40.76915505,-73.98191841,479,9 Ave & W 45 St,40.76019252,-73.9912551,26640,Subscriber,1969,1
386,2016-12-01 20:07,2016-12-01 20:13,499,Broadway & W 60 St,40.76915505,-73.98191841,3233,E 48 St & 5 Ave,40.75724568,-73.97805914,22974,Subscriber,1975,1
530,2016-12-01 20:07,2016-12-01 20:16,499,Broadway & W 60 St,40.76915505,-73.98191841,3375,3 Ave & E 72 St,40.7699426,-73.96060712,26965,Subscriber,1973,1
552,2016-12-01 20:17,2016-12-01 20:26,499,Broadway & W 60 St,40.76915505,-73.98191841,3161,W 76 St & Columbus Ave,40.78018397,-73.97728533,27327,Subscriber,1968,1
381,2016-12-01 20:18,2016-12-01 20:24,499,Broadway & W 60 St,40.76915505,-73.98191841,3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,22294,Subscriber,1968,2
1246,2016-12-01 20:19,2016-12-01 20:40,499,Broadway & W 60 St,40.76915505,-73.98191841,3305,E 91 St & 2 Ave,40.7811223,-73.94965589,15834,Subscriber,1994,1
546,2016-12-01 20:28,2016-12-01 20:37,499,Broadway & W 60 St,40.76915505,-73.98191841,3177,W 84 St & Broadway,40.7867947,-73.977112,26474,Subscriber,1987,2
1100,2016-12-01 20:34,2016-12-01 20:52,499,Broadway & W 60 St,40.76915505,-73.98191841,3158,W 63 St & Broadway,40.77163851,-73.98261428,21567,Subscriber,1972,2
816,2016-12-01 21:07,2016-12-01 21:21,499,Broadway & W 60 St,40.76915505,-73.98191841,468,Broadway & W 55 St,40.7652654,-73.98192338,21567,Subscriber,1975,2
314,2016-12-01 21:38,2016-12-01 21:43,499,Broadway & W 60 St,40.76915505,-73.98191841,530,11 Ave & W 59 St,40.771522,-73.990541,20519,Subscriber,1984,1
